bookID|title|author|series|seriesName|bookInSeries|ISBN|pubYear|catalogingData|read|completedDate
328|Black Order|James Rollins|1|Sigma Force Series|3|9780060763886~0060763884|2006||1|5/10/2009 0:00:00
329|Tinker, Tailor, Soldier, Spy|John Le Carré|1|Smiley|5|0743457900|1974||1|1/12/2010 0:00:00
330|The Honourable Schoolboy|John Le Carré|1|Smiley|6|0743457919|1977||1|1/14/2011 0:00:00
331|Smiley's People|John Le Carré|1|Smiley|7||1979||0|
332|The Secret Pilgrim|John Le Carré|1|Smiley|8||1991||0|
333|A Small Town in Germany|John Le Carré|0|||0746431715|1968||1|5/29/2009 0:00:00
334|The Naïve and Sentimental Lover|John Le Carré|0||||1971||0|
335|The Little Drummer Girl|John Le Carré|0||||1983||0|
336|A Perfect Spy|John Le Carré|0||||1986||0|
337|The Russia House|John Le Carré|0||||1989||0|
338|The Night Manager|John Le Carré|0||||1993||0|
339|Our Game|John Le Carré|0||||1995||0|
340|The Tailor of Panama|John Le Carré|0||||1996||0|
341|Single and Single|John Le Carré|0||||1999||0|
342|The Constant Gardener|John Le Carré|0||||2000||0|
343|Absolute Friends|John Le Carré|0||||2003||0|
344|The Mission Song|John Le Carré|0||||2006||0|
345|A Most Wanted Man|John Le Carré|0||||2008||0|
346|The Ghost Brig352|The Secret Six: The True Tale of the Men Who Conspired with John Brown|Edward J. Renehan, Jr.|0|||1570031819|1997||1|7/14/2009 0:00:00
353|The Sea Hunters: True Adventures with Famous Shipwrecks|Clive Cussler & Craig Dirgo|0|||0684830272|1996||1|7/23/2009 0:00:00
354|The Field Guide|Tony DiTerlizzi & Holly Black|1|The Spiderwick Chronicles|1|9781416950172~1416950176|2003||1|8/11/2009 0:00:00
355|Tales of H.P. Lovecraft|Joyce Carol Oates|0|||0060957905|1997||1|8/11/2009 0:00:00
356|The Honor of Spies|W.E.B. Griffin|1|Honor Bound|5||||0|
357|Ender's Game|Orson Scott Card|1|Ender Wiggin|1|0312932081|1991||1|8/27/2009 0:00:00
358|The Seeing Stone|Tony DiTerlizzi & Holly Black|1|The Spiderwick Chronicles|2|0-689-85937-6|2003||1|8/28/2009 0:00:00
359|Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest|Stephen E. Ambrose|0|||0-671-76922-7~0-77432-1645-8~0-7432-2454-X|2001||1|9/2/2009 0:00:00
360|Knights of the Black and White|Jack Whyte|1|Templat Trilogy|1|0-399-15396-9|2006||1|9/6/2009 0:00:00
361|The Judas Strain|James Rollins|1|Sigma Force Series|4|9780060763893~0060763892|2007||1|9/16/2009 0:00:00
362|Lucinda's Secret|Tony DiTerlizzi & Holly Black|1|The Spiderwick Chronicles|3|9780689859380~0689859384|2003||1|9/16/2009 0:00:00
363|The Ironwood Tree|Tony DiTerlizzi & Holly Black|1|The Spiderwick Chronicles|4|9781416950202~1416950206|2004||1|9/16/2009 0:00:00
364|The Wrath of Mulgarath|Tony DiTerlizzi & Holly Black|1|The Spiderwick Chronicles|5|9780689859403~0689859406|2004||1|9/18/2009 0:00:00
365|Killing Rommel|Steven Pressfield|0|||9780385519700|2008||1|10/7/2009 0:00:00
366|Sundiver|David Brin|1|Uplift|1|0553269828|1980||1|10/14/2009 0:00:00
367|The Name of This Book Is Secret|Pseudonymous Bosch|1|Secret|1|9780316113663|2007||1|11/5/2009 0:00:00
368|If You're Reading This, It's Too Late|Pseudonymous Bosch|1|Secret|2|9780316113670|2008||1|12/22/2009 0:00:00
369|This Book Is Not Good for You|Pseudonymous Bosch|1|Secret|3|9780316040860|2009||1|1/31/2011 0:00:00
370|All The Windwracked Stars|Elizabeth Bear|1|Edda of Burdens|1|9780765318824|2008||1|11/13/2009 0:00:00
371|Steal Across the Sky|Nancy Kress|0|||9780765319869|2009||1|11/17/2009 0:00:00
372|Speaker for the Dead|Orson Scott Card|1|Ender Wiggin|2|9780812550757|1986||1|11/19/2009 0:00:00
373|The Plague|Albert Camus|0|||0075536498|1948||0|
374|Three Days to Never|Tim Powers|0|||9780380976539|2006|Nominee - Mythopoeic Fantasy Award for Adult Literature (2007)|0|
375|Vellum|Hal Duncan|1|The Book of All Hours|1|0345487311|2005|Nominee - British World Fantasy (2006)~Nominee - World Fantasy|0|
376|Golden Buddha|Clive Cussler with Craig Dirgo|1|Oregon Files|1|0425191729|2003||0|12/16/2009 0:00:00
377|Sacred Stone|Clive Cussler with Craig Dirgo|1|Oregon Files|2||2004||0|
378|Dark Watch|Clive Cussler with Jack Du Brul|1|Oregon Files|3||2005||0|
379|Skeleton Coast|Clive Cussler with Jack Du Brul|1|Oregon Files|4||2006||0|
380|Plague Ship|Clive Cussler with Jack Du Brul|1|Oregon Files|5||2008||0|
381|Corsair|Clive Cussler with Jack Du Brul|1|Oregon Files|6||2009||0|
382|The Silent Sea|Clive Cussler with Jack Du Brul|1|Oregon Files|7||2009||0|
383|The Calvin and Hobbes Tenth Anniversary Book|Bill Watterson|0|||0740777947|1995||1|1/5/2010 0:00:00
384|With the Old Breed: At Peleliu and Okinawa|E.B. Sledge|0|||9780891419068|1981||1|1/18/2010 0:00:00
385|Annapolis Ghosts: History, Mystery, Legends and Lore|Ed Okonowicz|0|||1890690198|2007||1|2/4/2010 0:00:00
386|Gorgias (Oxford World's Classics)|Plato and Robin Waterfield|0|||0192836307|1998||1|2/13/2010 0:00:00
387|Helmet for My Pillow: From Parris Island to the Pacific|Robert Leckie|0|||9780553593310|1957||1|2/15/2010 0:00:00
388|The Forever War|Joe Haldeman|1|Forever War|1|9780312536633|1974||1|2/16/2010 0:00:00
389|Star Wars: Allegiance|Timothy Than|0|||9780345477385|2007||1|2/25/2010 0:00:00
390|Oryx and Crake|Margaret Atwood|0|||0385503857|2003||1|2/26/2010 0:00:00
391|Starship Troopers|Robert A. Heinlein|0|||0441783589|1959||1|2/28399|Event|David Lynn Golemon|1|Event Group Adventures|1|0312370288|2006||1|5/25/2010 0:00:00

:00

400|The Lighting Thief|Rick Riordan|1|Percy Jackson and the Olympians|1|9781423135890|2005||1|5/25/2010 0:00:00
401|On Basilisk Station|David Weber|1|Honor Harrington|1|0743435710|1993||1|5/31/2010 0:00:00
402|Inkheart|Cornelia Funke|1|Inkheart|1|0439531640|2003||1|6/6/2010 0:00:00
403|Insurrection|David Weber & Steve White|1|Starfire|1|0671720244|1990||1|6/10/2010 0:00:00
404|The Tower Treasure|Franklin W. Dixon|1|The Hardy Boys|1|0448089017|1927||1|6/17/2010 0:00:00
405|The Secret of Terror Castle|Robert Arthur|1|Alfred Hitchcock and The Three Investigators in …|1|0679811761|1964||1|6/25/2010 0:00:00
406|The Mystery of the Stuttering Parrot|Robert Arthur|1|Alfred Hitchcock and The Three Investigators in …|2|0679811710|1964||1|6/27/2010 0:00:00
407|The Fairy-Tale Detectives|Michael Buckley|1|The Sisters Grimm|1|9780810993228|2007||1|7/7/2010 0:00:00
408|The Sea of Monsters|Rick Riordan|1|Percy Jackson and the Olympians|2|9780786856862|2006||1|7/8/2010 0:00:00
409|The Mysterious Benedict Society|Trenton Lee Stewart|1|The Mysterious Benedict Society|1|0316003956|2007||1|7/11/2010 0:00:00
410|Blood Stripes: The Grunt's View of the War in Iraq|David J. Danelo|0|||0811701646|2006||1|7/12/2010 0:00:00
411|Caesar's Legion: The Epic Saga of Julius Caesar's Elite Tenth Legion and the Armies of Rome|Stephen Dando-Collins|0|||0471686131|2002||1|7/17/2010 0:00:00
412|We Were One: Shoulder to Shoulder with the Marines Who Took Fallujah|Patrick K. O'Donnell|0|||0306814692|2006||1|7/19/2010 0:00:00
413|Sniper One: On Scope and Under Siege with a Sniper Team in Iraq|Sqt. Dan Mills|0|||0312531265|2007||1|7/31/2010 0:00:00
414|Splinter Cell|David Michaels|1|Tom Clancy's Splinter Cell|1|9780425201688|2004||1|8/1/2010 0:00:00
415|A Field Guide to Irish Fairies|Bob Curran|0|||0811822761|1997||1|7/31/2010 0:00:00
416|Legend|David Lynn Golemon|1|Event Group Adventures|2|0312945949|2007||1|8/3/2010 0:00:00
417|Startide Rising|David Brin|1|Uplift|2|055327418X|1983||1|8/6/2010 0:00:00
418|Without Warning|John Birmigham|1|Without Warning|1|9780345502896|2009||1|8/9/2010 0:00:00
419|The Parsifal Mosaic|Robert Ludlum|0|||0553252704|1982||1|8/15/2010 0:00:00
420|Brimstone|Robert B. Parker|1|Virgil Cole and Everett Hitch|3|9780425234617|2009||1|8/23/2010 0:00:00
421|Hammer's Slammers|David Drake|1|Hammer's Slammers|1|0671698672|1987||1|8/21/2010 0:00:00
422|Pursuit of Honor|Vince Flynn|1|Mitch Rapp|10|9781416595168|2009||1|9/1/2010 0:00:00
423|The Last Oracle|James Rollins|1|Sigma Force Series|5|9780061581175|2008||1|9/5/2010 0:00:00
424|Operation Battacuda|David Michaels|1|Tom Clancy's Splinter Cell|2|0425204227|2005||1|9/8/2010 0:00:00
425|Prayers for the Assassin|Robert Ferrigno|1|Assassin|1|0743272897|2006||1|9/26/2010 0:00:00
426|Tom Clancy's Endwar #1|David Michaels|1|Tom Clancy's Endwar|1|9780425222140|2008||1|9/30/2010 0:00:00
427|Killing Floor|Lee Child|1|Jack Reacher|1|9780515141429|1997||1|10/9/2010 0:00:00
428|The Demon Awakes|R.A. Salvatore|1|Demon Wars|1|0345421620|1996||1|10/28/2010 0:00:00
429|Master & Commander|Patrick O'Brian|1| Aubrey / Maturin|1|9780393307054|1970||1|11/24/2010 0:00:00
430|The Sky People|S.M. Stirling|1|Lords of Creation|1|9780765314888|2006||1|12/30/2010 0:00:00
431|The Baffled Parents Guide to Coaching Girls' Lacrosse|Janine Tucker with Maryaline Yakutchik|0|||00714112255|2003||1|1/24/2011 0:00:00
432|I, Robot|Isaac Asimov|1|The Robot Novels|1|0553294385|1950||1|3/18/2011 0:00:00
433|The Fall of the Templars|Robyn Young|1|Brethen Trilogy|3|9780525950684|2009||1|4/5/2011 0:00:00
434|Stranger in a Strange Land|Robert A. Heinlein|0|||0441788386|1961||1|3/3/2011 0:00:00
